"""","総  数(人)","神道系(人)","ｷﾘｽﾄ教系(人)","  仏教系  (人)","諸  教(人)"
"平成19年(2007年)","2496.0","473.0","42.0","1592.0","389.0"
"平成20年(2008年)","2499.0","473.0","42.0","1593.0","391.0"
"平成21年(2009年)","2496.0","473.0","42.0","1592.0","389.0"
"平成22年(2010年)","2498.0","474.0","42.0","1591.0","391.0"
"","","","","",""
"平成23年(2011年)","2498.0","474.0","42.0","1591.0","391.0"
"平成24年(2012年)","2499.0","474.0","42.0","1591.0","392.0"
"平成25年(2013年)","2496.0","474.0","43.0","1589.0","390.0"
"平成26年(2014年)","2493.0","475.0","41.0","1589.0","388.0"
"平成27年(2015年)","2489.0","476.0","41.0","1586.0","386.0"
"","","","","",""
"  和歌山市","551.0","80.0","12.0","352.0","107.0"
"  海 南 市","166.0","31.0","1.0","115.0","19.0"
"  橋 本 市","128.0","20.0","1.0","83.0","24.0"
"  有 田 市","70.0","9.0","1.0","47.0","13.0"
"  御 坊 市","54.0","8.0","2.0","32.0","12.0"
"  田 辺 市","167.0","35.0","4.0","78.0","50.0"
"  新 宮 市","80.0","20.0","3.0","38.0","19.0"
"　紀の川市","211.0","43.0","3.0","144.0","21.0"
"　岩 出 市","65.0","7.0","3.0","53.0","2.0"
"","","","","",""
"  海 草 郡","59.0","9.0","0.0","41.0","9.0"
"  伊 都 郡","254.0","48.0","1.0","189.0","16.0"
"  有 田 郡","178.0","23.0","2.0","131.0","22.0"
"  日 高 郡","197.0","41.0","1.0","124.0","31.0"
"  西牟婁郡","103.0","27.0","2.0","56.0","18.0"
"  東牟婁郡","206.0","75.0","5.0","103.0","23.0"
